3500	185	4	32	0.034756035
3500	185	4	64	0.023702276
3500	185	4	128	0.019651553
3500	185	4	256	0.018483987
3500	185	4	512	0.018014523
3500	185	4	1024	0.018151512
3900	125	4	32	0.028942579
3900	125	4	64	0.020892443
3900	125	4	128	0.017932358
3900	125	4	256	0.016500896
3900	125	4	512	0.016128549
3900	125	4	1024	0.016667828
4000	230	4	32	0.046735123
4000	230	4	64	0.030629257
4000	230	4	128	0.024998914
4000	230	4	256	0.022267774
4000	230	4	512	0.021894516
4000	230	4	1024	0.022915797
4300	125	4	32	0.031782164
4300	125	4	64	0.022542161
4300	125	4	128	0.019725235
4300	125	4	256	0.01828951
4300	125	4	512	0.018077001
4300	125	4	1024	0.018642302
5100	215	4	32	0.054336266
5100	215	4	64	0.035921567
5100	215	4	128	0.029563923
5100	215	4	256	0.026301426
5100	215	4	512	0.027166788
5100	215	4	1024	0.031737406
3500	185	6	32	0.027185467
3500	185	6	64	0.020368035
3500	185	6	128	0.017540015
3500	185	6	256	0.016928481
3500	185	6	512	0.017938842
3500	185	6	1024	0.018208157
3900	125	6	32	0.023587344
3900	125	6	64	0.018188471
3900	125	6	128	0.016434611
3900	125	6	256	0.015512706
3900	125	6	512	0.016267097
3900	125	6	1024	0.016554095
4000	230	6	32	0.035595299
4000	230	6	64	0.025509375
4000	230	6	128	0.022270559
4000	230	6	256	0.020146729
4000	230	6	512	0.021948745
4000	230	6	1024	0.022782778
4300	125	6	32	0.025789772
4300	125	6	64	0.01985927
4300	125	6	128	0.017697712
4300	125	6	256	0.016603739
4300	125	6	512	0.017420333
4300	125	6	1024	0.018081798
5100	215	6	32	0.042369055
5100	215	6	64	0.030318893
5100	215	6	128	0.025971815
5100	215	6	256	0.024591262
5100	215	6	512	0.024624826
5100	215	6	1024	0.026277968
3500	185	8	32	0.023604131
3500	185	8	64	0.017901965
3500	185	8	128	0.016612779
3500	185	8	256	0.015560286
3500	185	8	512	0.015994336
3500	185	8	1024	0.01818317
3900	125	8	32	0.020767053
3900	125	8	64	0.016538069
3900	125	8	128	0.015189808
3900	125	8	256	0.014504072
3900	125	8	512	0.015094948
3900	125	8	1024	0.01672274
4000	230	8	32	0.030376782
4000	230	8	64	0.022567793
4000	230	8	128	0.019815426
4000	230	8	256	0.01861666
4000	230	8	512	0.019791673
4000	230	8	1024	0.022967673
4300	125	8	32	0.022554466
4300	125	8	64	0.018187909
4300	125	8	128	0.016908762
4300	125	8	256	0.016326739
4300	125	8	512	0.017233075
4300	125	8	1024	0.018121095
5100	215	8	32	0.036032022
5100	215	8	64	0.026801197
5100	215	8	128	0.023557039
5100	215	8	256	0.022894679
5100	215	8	512	0.025784083
5100	215	8	1024	0.026230197
3500	185	10	32	0.021087209
3500	185	10	64	0.017104011
3500	185	10	128	0.015516967
3500	185	10	256	0.015746975
3500	185	10	512	0.016125211
3500	185	10	1024	0.01817216
3900	125	10	32	0.019463123
3900	125	10	64	0.016164463
3900	125	10	128	0.01500771
3900	125	10	256	0.014731114
3900	125	10	512	0.015134069
3900	125	10	1024	0.016647207
4000	230	10	32	0.027569158
4000	230	10	64	0.021581336
4000	230	10	128	0.019760094
4000	230	10	256	0.018885848
4000	230	10	512	0.019863389
4000	230	10	1024	0.022761653
4300	125	10	32	0.020869321
4300	125	10	64	0.017186836
4300	125	10	128	0.016242167
4300	125	10	256	0.015772037
4300	125	10	512	0.01654821
4300	125	10	1024	0.017976084
5100	215	10	32	0.032405041
5100	215	10	64	0.024762456
5100	215	10	128	0.022480753
5100	215	10	256	0.022024641
5100	215	10	512	0.023992913
5100	215	10	1024	0.026362631
